"Номер";"Группа1";"Группа2";"Группа3";"Группа4"
"строка 1";"BE";"abracadabra$";"abracadabracadabra";"(7,18)"
"строка 2";"BE";"a...b";"abababbb";"(2,7)"
"строка 3";"BE";"XXXXXX";"..XXXXXX";"(2,8)"
"строка 4";"E";"\)";"()";"(1,2)"
"строка 5";"BE";"a]";"a]a";"(0,2)"
"строка 6";"B";"}";"}";"(0,1)"
"строка 7";"E";"\}";"}";"(0,1)"
"строка 8";"BE";"\]";"]";"(0,1)"
"строка 9";"B";"]";"]";"(0,1)"
"строка 10";"E";"]";"]";"(0,1)"
"строка 11";"B";"{";"{";"(0,1)"
"строка 12";"B";"}";"}";"(0,1)"
"строка 13";"BE";"^a";"ax";"(0,1)"
"строка 14";"BE";"\^a";"a^a";"(1,3)"
"строка 15";"BE";"a\^";"a^";"(0,2)"
"строка 16";"BE";"a$";"aa";"(1,2)"
"строка 17";"BE";"a\$";"a$";"(0,2)"
"строка 18";"BE";"^$";"NULL";"(0,0)"
"строка 19";"E";"$^";"NULL";"(0,0)"
"строка 20";"E";"a($)";"aa";"(1,2)(2,2)"
"строка 21";"E";"a*(^a)";"aa";"(0,1)(0,1)"
"строка 22";"E";"(..)*(...)*";"a";"(0,0)"
"строка 23";"E";"(..)*(...)*";"abcd";"(0,4)(2,4)"
"строка 24";"E";"(ab|a)(bc|c)";"abc";"(0,3)(0,2)(2,3)"
"строка 25";"E";"(ab)c|abc";"abc";"(0,3)(0,2)"
"строка 26";"E";"a{0}b";"ab";"(1,2)"
"строка 27";"E";"(a*)(b?)(b+)b{3}";"aaabbbbbbb";"(0,10)(0,3)(3,4)(4,7)"
"строка 28";"E";"(a*)(b{0,1})(b{1,})b{3}";"aaabbbbbbb";"(0,10)(0,3)(3,4)(4,7)"
"строка 29";"E";"a{9876543210}";"NULL";"BADBR"
"строка 30";"E";"((a|a)|a)";"a";"(0,1)(0,1)(0,1)"
"строка 31";"E";"(a*)(a|aa)";"aaaa";"(0,4)(0,3)(3,4)"
"строка 32";"E";"a*(a.|aa)";"aaaa";"(0,4)(2,4)"
"строка 33";"E";"a(b)|c(d)|a(e)f";"aef";"(0,3)(?,?)(?,?)(1,2)"
"строка 34";"E";"(a|b)?.*";"b";"(0,1)(0,1)"
"строка 35";"E";"(a|b)c|a(b|c)";"ac";"(0,2)(0,1)"
"строка 36";"E";"(a|b)c|a(b|c)";"ab";"(0,2)(?,?)(1,2)"
"строка 37";"E";"(a|b)*c|(a|ab)*c";"abc";"(0,3)(1,2)"
"строка 38";"E";"(a|b)*c|(a|ab)*c";"xc";"(1,2)"
"строка 39";"E";"(.a|.b).*|.*(.a|.b)";"xa";"(0,2)(0,2)"
"строка 40";"E";"a?(ab|ba)ab";"abab";"(0,4)(0,2)"
"строка 41";"E";"a?(ac{0}b|ba)ab";"abab";"(0,4)(0,2)"
"строка 42";"E";"ab|abab";"abbabab";"(0,2)"
"строка 43";"E";"aba|bab|bba";"baaabbbaba";"(5,8)"
"строка 44";"E";"aba|bab";"baaabbbaba";"(6,9)"
"строка 45";"E";"(aa|aaa)*|(a|aaaaa)";"aa";"(0,2)(0,2)"
"строка 46";"E";"(a.|.a.)*|(a|.a...)";"aa";"(0,2)(0,2)"
"строка 47";"E";"ab|a";"xabc";"(1,3)"
"строка 48";"E";"ab|a";"xxabc";"(2,4)"
"строка 49";"Ei";"(?-u)(Ab|cD)*";"aBcD";"(0,4)(2,4)"
"строка 50";"BE";"[^-]";"--a";"(2,3)"
"строка 51";"BE";"[a-]*";"--a";"(0,3)"
"строка 52";"BE";"[a-m-]*";"--amoma--";"(0,4)"
"строка 53";"E";":::1:::0:|:::1:1:0:";":::0:::1:::1:::0:";"(8,17)"
"строка 54";"E";":::1:::0:|:::1:1:1:";":::0:::1:::1:::0:";"(8,17)"
"строка 55";"{E";"[[:upper:]]";"A";"(0,1)"
"строка 56";"E";"[[:lower:]]+";"`az{";"(1,3)"
"строка 57";"E";"[[:upper:]]+";"@AZ[";"(1,3)"
"строка 58";"#";"No collation in Go";"#BE";"[[-]]"
"строка 59";"[[-]]";"(2,4)";"#BE";"[[.NIL.]]"
"строка 60";"ECOLLATE";"#BE";"[[=aleph=]]";"NULL"
"строка 61";"}";"BE$";"\n";"\n"
"строка 62";"BEn$";"\n";"\n";"(0,1)"
"строка 63";"BE$";"[^a]";"\n";"(0,1)"
"строка 64";"BE$";"\na";"\na";"(0,2)"
"строка 65";"E";"(a)(b)(c)";"abc";"(0,3)(0,1)(1,2)(2,3)"
"строка 66";"BE";"xxx";"xxx";"(0,3)"
"строка 67";"E1";"(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)";"feb 6,";"(0,6)"
"строка 68";"E1";"(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)";"2/7";"(0,3)"
"строка 69";"E1";"(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)";"feb 1,Feb 6";"(5,11)"
"строка 70";"E3";"((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))";"x";"(0,1)(0,1)(0,1)"
"строка 71";"E3";"((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))*";"xx";"(0,2)(1,2)(1,2)"
"строка 72";"E";"a?(ab|ba)*";"ababababababababababababababababababababababababababababababababababababababababa";"(0,81)(79,81)"
"строка 73";"E";"abaa|abbaa|abbbaa|abbbbaa";"ababbabbbabbbabbbbabbbbaa";"(18,25)"
"строка 74";"E";"abaa|abbaa|abbbaa|abbbbaa";"ababbabbbabbbabbbbabaa";"(18,22)"
"строка 75";"E";"aaac|aabc|abac|abbc|baac|babc|bbac|bbbc";"baaabbbabac";"(7,11)"
"строка 76";"BE$";".*";"\x01\x7f";"(0,2)"
"строка 77";"E";"aaaa|bbbb|cccc|ddddd|eeeeee|fffffff|gggg|hhhh|iiiii|jjjjj|kkkkk|llll";"XaaaXbbbXcccXdddXeeeXfffXgggXhhhXiiiXjjjXkkkXlllXcbaXaaaa";"(53,57)"
